,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
NBFCIN000COML267,Q1,FY20,Commercial,NBFC,Commercial Loan,157313960,80184300,43,80184300,N,F
NBFCIN000COML629,Q1,FY21,Commercial,NBFC,Commercial Loan,11130000,2729500,30,5406000,N,M
NBFCIN000COML127,Q1,FY20,Commercial,NBFC,Commercial Loan,15645540,5361400,33,7457220,N,F
NBFCIN000COML461,Q1,FY20,Commercial,NBFC,Commercial Loan,5489240,2568360,39,1926270,Y,M
PVT00COM187,Q1,FY19,Commercial,PVT Bank,Commercial Loan,8547000,4040400,35,6002325,N,M
PVT00COM24,Q1,FY19,Commercial,PVT Bank,Commercial Loan,22490050,4410670,49,11681725,Y,M
PSUIN300133MICRO0133812,Q1,FY19,Commercial,PSU Bank,Commercial Loan,13682520,4603070,51,5083436,N,M
PSUIN300310MICRO0120344,Q1,FY20,Commercial,PSU Bank,Commercial Loan,10312740,3340290,61,5010435,Y,M
PSUIN300103MICRO0128779,Q1,FY20,Commercial,PSU Bank,Commercial Loan,11917500,5731750,31,4383937,Y,M
NBFCIN0001173,Q1,FY20,Microfinance,NBFC,Microfinance Loan,7560,2116,42,518522,Y,M
NBFCIN0001706,Q1,FY21,Microfinance,NBFC,Microfinance Loan,7070,2050,42,841734,Y,M
NBFCIN0001153C,Q1,FY19,Microfinance,NBFC,Microfinance Loan,14170,3447,47,540422,Y,F
NBFCIN000636,Q1,FY19,Microfinance,NBFC,Microfinance Loan,15400,5341,34,970754,Y,F
NBFCIN0002049,Q1,FY19,Microfinance,NBFC,Microfinance Loan,15900,4654,50,376512,N,M
NBFCIN000312,Q1,FY19,Microfinance,NBFC,Microfinance Loan,16200,5068,46,884196,Y,M
NBFCIN0001970,Q1,FY19,Microfinance,NBFC,Microfinance Loan,17120,6104,32,890332,N,M
NBFCIN0001223,Q1,FY21,Microfinance,NBFC,Microfinance Loan,25680,8486,39,581558,Y,M
NBFCIN000316,Q1,FY21,Microfinance,NBFC,Microfinance Loan,25500,9275,26,141561,Y,M
NBFCIN000210I,Q1,FY21,Microfinance,NBFC,Microfinance Loan,27300,8785,57,847333,Y,M
NBFCIN000548,Q1,FY20,Microfinance,NBFC,Microfinance Loan,28340,6955,25,866486,N,F
NBFCIN000642,Q1,FY21,Microfinance,NBFC,Microfinance Loan,28890,6885,66,1104497,N,M
NBFCIN0001344,Q1,FY20,Microfinance,NBFC,Microfinance Loan,33280,11980,43,654784,N,M
NBFCIN0001296,Q1,FY20,Microfinance,NBFC,Microfinance Loan,35700,9458,49,746350,N,M
NBFCIN0002404,Q1,FY20,Microfinance,NBFC,Microfinance Loan,36360,10594,48,802022,N,M
NBFCIN0001390,Q1,FY19,Microfinance,NBFC,Microfinance Loan,38850,11373,47,767124,Y,M
NBFCIN0001567,Q1,FY21,Microfinance,NBFC,Microfinance Loan,46440,15802,41,679236,N,M
NBFCIN0002289,Q1,FY21,Microfinance,NBFC,Microfinance Loan,50140,17047,23,570549,Y,M
NBFCIN000147H,Q1,FY19,Microfinance,NBFC,Microfinance Loan,50290,13554,39,476442,N,F
NBFCIN0001641,Q1,FY21,Microfinance,NBFC,Microfinance Loan,55640,17856,27,951264,N,M
NBFCIN0002361,Q1,FY19,Microfinance,NBFC,Microfinance Loan,55650,15311,31,663265,Y,M
NBFCIN000231,Q1,FY21,Microfinance,NBFC,Microfinance Loan,59400,17160,56,885697,Y,M
NBFCIN000875S,Q1,FY20,Microfinance,NBFC,Microfinance Loan,55550,20790,39,1014632,Y,M
NBFCIN0001516,Q1,FY21,Microfinance,NBFC,Microfinance Loan,58710,18297,33,1033872,N,M
NBFCIN000962,Q1,FY20,Microfinance,NBFC,Microfinance Loan,82400,27136,39,806600,Y,M
NBFCIN0002481,Q1,FY20,Microfinance,NBFC,Microfinance Loan,107060,34905,37,560120,N,M
NBFCIN0001760,Q1,FY20,Microfinance,NBFC,Microfinance Loan,124200,40606,32,964512,N,M
NBFCIN0001826,Q1,FY20,Microfinance,NBFC,Microfinance Loan,120360,34562,47,332176,N,M
PVT00MICROV2430,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,7630,3357,37,738621,N,M
PVT00MICROV311,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,9450,4140,59,565740,N,M
PVT00MICROV190,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,13780,6279,58,593743,N,F
PVT00MICROV592,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,16500,7704,44,798768,N,M
PVT00MICROV1974,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,17510,7276,44,853450,Y,M
PVT00MICROV392,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,18900,7749,52,444501,N,M
PVT00MICROV156,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,20200,7548,46,890552,N,F
PVT00MICROV2333,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,26500,11130,29,630566,N,F
PVT00MICROV359,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,25500,8560,57,956475,N,F
PVT00MICROV800,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,26520,10545,35,424116,Y,M
PVT00MICROV435,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,35700,18360,50,489840,N,F
PVT00MICROV1408,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,37100,12614,40,420831,N,F
PVT00MICROV309,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37100,17304,48,935980,N,M
PVT00MICROV812,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,35700,17472,47,898926,N,M
PVT00MICROV1082,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,38160,12236,57,400361,Y,M
PVT00MICROV2296,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,38160,17028,49,795954,N,F
PVT00MICROV2368,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37440,17258,43,698565,N,M
PVT00MICROV619,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,38880,15271,54,759780,N,M
PVT00MICROV191,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37370,13826,42,1070499,N,M
PVT00MICROV64,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,40330,18855,53,565161,N,F
PVT00MICROV828,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,39900,13011,61,711627,N,M
PVT00MICROV1813,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,42800,17716,22,1714025,N,M
PVT00MICROV2091,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,41820,18511,52,1241521,Y,F
PVT00MICROV856,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,59400,18835,40,1077544,N,M
PVT00MICROV99,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,59160,25688,28,1113970,N,M
PVT00MICROV1005,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,73700,28006,56,709481,N,M
PVT00MICROV1126,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,80660,31968,37,1655932,Y,M
PVT00MICROV386,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,84700,35574,56,252144,Y,F
PVT00MICROV2407,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,84240,26956,35,1565904,Y,M
PVT00MICROV1984,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,89100,29767,50,2039206,N,M
PVT00MICROV451,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,83640,42508,52,836139,N,M
PSUIN30038MICRO0119334,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,1100,457,58,342592,N,M
PSUIN300129MICRO012526,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,6420,2583,42,418887,N,F
PSUIN300417MICRO0131208,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,9630,3596,30,363372,N,M
PSUIN30031MICRO017297,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,16800,8448,35,369240,N,M
PSUIN30092MICRO0131165,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,17850,8894,47,393653,N,M
PSUIN30039MICRO0129599,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,19380,9264,31,442368,N,M
PSUIN300352MICRO0137901,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,25250,11172,42,493377,Y,M
PSUIN300246MICRO0128777,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26750,10865,47,447590,N,M
PSUIN300430MICRO0119195,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,27000,11990,57,253976,Y,F
PSUIN300121MICRO0120137,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,26780,13520,43,435672,N,M
PSUIN300242MICRO0129714,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,27300,12355,31,282660,Y,M
PSUIN300336MICRO012698,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26780,10004,56,220830,N,F
PSUIN300130MICRO0128084,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,28600,9547,45,516780,N,F
PSUIN300406MICRO0145857,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,28600,12074,51,459217,Y,M
PSUIN300213MICRO01513,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,28620,10789,42,326564,N,M
PSUIN30019MICRO01216,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,33920,12672,34,401940,N,M
PSUIN300451MICRO0127974,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,33660,14612,54,342930,Y,M
PSUIN300125MICRO0110670,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,35020,15422,37,345060,N,M
PSUIN300354MICRO0143454,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,36380,14565,44,406438,N,M
PSUIN300350MICRO0125880,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,36750,17227,33,466854,Y,M
PSUIN300183MICRO0133897,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,35700,13104,40,381027,N,M
PSUIN300107MICRO0149619,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,36050,17010,39,317148,Y,M
PSUIN300402MICRO0147725,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,36050,16023,29,335920,N,M
PSUIN300135MICRO0124110,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,37450,15200,56,421464,N,M
PSUIN300482MICRO0126756,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,39960,16705,32,279552,Y,F
PSUIN300215MICRO0123935,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,41420,17388,25,369292,N,F
PSUIN300479MICRO0139911,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,38760,16598,42,298410,N,M
PSUIN300134MICRO0122820,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,43200,15808,33,306837,N,M
PSUIN300254MICRO0121923,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,43460,20295,50,343035,N,F
PSUIN30022MICRO0126148,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,46200,19504,37,507870,N,M
PSUIN30074MICRO0143247,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,42420,15728,28,306234,N,M
PSUIN300494MICRO0136341,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,43680,16317,49,357193,Y,M
PSUIN300347MICRO0115484,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,51510,20287,54,334441,N,M
PSUIN300180MICRO012810,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,58300,18735,29,345289,N,M
PSUIN300339MICRO0123314,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,60500,25410,47,395452,N,M
PSUIN300498MICRO0137756,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,55550,23452,28,346184,N,F
PSUIN300290MICRO0110662,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,60990,24538,50,330015,N,M
PSUIN30026MICRO0117869,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,59740,23751,54,295404,N,M
PSUIN30031MICRO0127085,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,60900,28710,43,478847,Y,M
PSUIN300467MICRO019486,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,60770,23316,45,285670,N,M
PSUIN300129MICRO014876,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,66150,28633,31,347256,Y,M
PSUIN300133MICRO0135237,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,67410,26044,58,300172,Y,M
PSUIN300222MICRO0128963,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,69760,26457,41,370656,N,M
PSUIN300191MICRO0130009,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,65280,29568,32,310575,N,M
PSUIN300296MICRO0111980,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,78440,33729,47,423247,N,M
PSUIN300273MICRO0116111,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,80560,34884,32,251136,N,M
PSUIN300349MICRO0128109,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,82680,28641,30,341460,N,M
PSUIN30049MICRO0118298,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,99640,36171,28,394696,Y,F
PSUIN300139MICRO017379,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,102600,46597,33,369852,N,M
PSUIN30023MICRO0112061,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,114480,40068,47,1488240,Y,M
PSUIN300403MICRO0138246,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,115540,45633,42,1200980,N,M
PSUIN30096MICRO013607,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,123120,52941,34,1477440,Y,M
PSUIN300326MICRO0122629,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,125080,53029,45,1157580,N,F
NBFCIN301AUTOCV20207,Q1,FY20,Retail,NBFC,Auto Loans,156456,46051,29,2110680,Y,M
NBFCIN301AUTO20107,Q1,FY21,Retail,NBFC,Auto Loans,268730,35912,56,2638440,N,M
NBFCIN1612AUTO35553A,Q1,FY19,Retail,NBFC,Auto Loans,294300,96390,32,1177200,N,F
NBFCIN201AAUTO20107,Q1,FY21,Retail,NBFC,Auto Loans,116594,115515,37,1306291,Y,M
IC00213AUL11294,Q1,FY19,Retail,PVT Bank,Auto Loans,376252,372669,58,5643792,Y,F
PSUNAUTO263LOA46763,Q1,FY21,Retail,PSU Bank,Auto Loans,264076,106247,28,2850540,N,M
PSUNAUTO489LOA24271,Q1,FY21,Retail,PSU Bank,Auto Loans,345609,200749,31,3489011,N,M
PVTN29CCL10461,Q1,FY20,Retail,PVT Bank,Credit Card,37286,19200,35,322875,N,M
PSUN89CC11836,Q1,FY19,Retail,PSU Bank,Credit Card,22624,13552,40,372791,N,M
PVTN76CCL8842,Q1,FY20,Retail,PVT Bank,Credit Card,21733,7747,42,439449,N,M
PVTN81CCL10483,Q1,FY21,Retail,PVT Bank,Credit Card,33966,19600,56,427862,N,M
PVTN31CCL9013,Q1,FY20,Retail,PVT Bank,Credit Card,39165,24744,35,467316,N,M
PVTN47CCL950,Q1,FY19,Retail,PVT Bank,Credit Card,22345,5330,31,453921,N,F
PVTN69CCL165,Q1,FY21,Retail,PVT Bank,Credit Card,23326,10030,44,471660,N,M
PVTN86CCL6938,Q1,FY21,Retail,PVT Bank,Credit Card,31722,15494,32,509652,N,F
PSUN14CC11718,Q1,FY19,Retail,PSU Bank,Credit Card,10608,3193,26,585420,N,F
PSUN23CC7009,Q1,FY21,Retail,PSU Bank,Credit Card,23217,14224,49,728090,N,F
PVTN40CCL8541,Q1,FY20,Retail,PVT Bank,Credit Card,13482,5140,65,686256,Y,F
NBFCINCC30009763,Q1,FY19,Retail,NBFC,Credit Card,45368,24486,43,716666,N,M
PSUN22CC9441,Q1,FY21,Retail,PSU Bank,Credit Card,31916,17575,53,747181,N,M
NBFCINCC30008539,Q1,FY19,Retail,NBFC,Credit Card,19581,8893,27,808390,Y,M
NBFCINCC30003164,Q1,FY21,Retail,NBFC,Credit Card,13000,6227,40,742754,N,M
PVTN69CCL8727,Q1,FY21,Retail,PVT Bank,Credit Card,27089,17894,50,771161,N,M
NBFCINCC30007378,Q1,FY21,Retail,NBFC,Credit Card,33800,21908,52,834068,N,M
NBFCINCC30004825,Q1,FY20,Retail,NBFC,Credit Card,33899,17636,38,857450,N,M
PVTN92CCL3385,Q1,FY21,Retail,PVT Bank,Credit Card,37168,16456,34,858266,N,M
PVTN64CCL5018,Q1,FY20,Retail,PVT Bank,Credit Card,41446,26431,36,851816,Y,M
NBFCINCC300010805,Q1,FY21,Retail,NBFC,Credit Card,31376,12787,55,819211,N,F
NBFCINCC30001392,Q1,FY21,Retail,NBFC,Credit Card,36920,16656,39,874440,N,M
PSUN50CC2867,Q1,FY19,Retail,PSU Bank,Credit Card,28222,12245,40,939290,N,M
PVTN22CCL4849,Q1,FY20,Retail,PVT Bank,Credit Card,10494,6322,61,863752,N,F
PVTN97CCL1381,Q1,FY20,Retail,PVT Bank,Credit Card,42552,21717,31,889920,N,M
NBFCINCC30002069,Q1,FY21,Retail,NBFC,Credit Card,25688,9069,42,953480,N,M
PVTN54CCL8390,Q1,FY21,Retail,PVT Bank,Credit Card,37584,18792,40,945210,N,M
PVTN12CCL3570,Q1,FY21,Retail,PVT Bank,Credit Card,20680,10761,41,938808,N,M
PVTN30CCL6667,Q1,FY21,Retail,PVT Bank,Credit Card,32017,9072,40,1011120,N,M
PSUN68CC4636,Q1,FY19,Retail,PSU Bank,Credit Card,19902,10639,43,953780,N,M
PVTN48CCL3172,Q1,FY21,Retail,PVT Bank,Credit Card,34775,18710,39,1033076,N,M
NBFCINCC30002969,Q1,FY20,Retail,NBFC,Credit Card,29975,13488,41,1035459,Y,M
PVTN56CCL1841,Q1,FY21,Retail,PVT Bank,Credit Card,30765,15822,54,1067772,Y,F
PVTN57CCL2946,Q1,FY21,Retail,PVT Bank,Credit Card,41764,10638,54,1127747,Y,M
PSUN61CC2716,Q1,FY21,Retail,PSU Bank,Credit Card,25573,12432,28,1197144,Y,M
NBFCINCC30004693,Q1,FY21,Retail,NBFC,Credit Card,21318,7517,30,1332450,N,M
PVTN76CCL12301,Q1,FY19,Retail,PVT Bank,Credit Card,49830,17766,31,1372792,N,M
NBFCIN060TWL13O,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,5150,3795,51,1069860,N,M
NBFCIN060TWL23,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,11660,7381,55,1749280,N,F
NBFCIN060TWL35,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,11440,7436,30,420240,N,F
NBFCIN060TWL42,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,31030,19105,43,752752,N,M
NBFCIN162TWL3880,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,18190,10451,51,763245,N,M
NBFCIN145TWL10111,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,18540,10684,23,626755,Y,M
NBFCIN329TWL5761,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,25250,14025,28,840717,N,M
NBFCIN252TWL826,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,31620,20832,25,800830,N,F
NBFCIN300TWL577,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,41410,27379,51,870376,Y,F
IC0700TWL635,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,50470,35500,37,975091,N,F
IC0700TWL76,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,31200,21630,49,692368,Y,M
PVTN318TWL4524,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,45580,31746,28,836552,N,M
PVTN48TWL8361,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,41420,23028,32,162968,N,M
PVTN454TWL1147,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,39600,21088,43,1048464,Y,M
PVTN441TWL10842,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,47520,29040,42,257985,N,F
PVTN202TWL10315,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,56160,36764,28,1289310,Y,M
PVTN120TWL3742,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,94340,26967,58,1161405,N,M
PVTN210TWL8039,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,42800,13056,40,563992,N,M
PVTN335TWL7168,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,39960,13431,27,583524,N,M
PVTN340TWL7109,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,50880,16128,39,298530,N,M
PVTN352TWL317,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,26160,10368,41,254664,N,M
PVTN411TWL1970,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,43050,14218,55,485980,N,M
PVTN45TWL5558,Q1,FY21,Retail,PVT Bank,Two-Wheeler Loan,60770,20054,27,796991,N,M
PVTN51TWL9984,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,124950,40210,45,1078704,N,M
NBFCIN000COML690,Q2,FY19,Commercial,NBFC,Commercial Loan,11037480,3893480,51,4299795,N,M
PVT00COM142,Q2,FY20,Commercial,PVT Bank,Commercial Loan,8760400,2070640,45,3135825,Y,F
PVT00COM183,Q2,FY21,Commercial,PVT Bank,Commercial Loan,9475200,3248640,53,4918080,N,F
PVT00COM44,Q2,FY19,Commercial,PVT Bank,Commercial Loan,22363000,4430800,42,8229375,N,M
PVT00COM54,Q2,FY21,Commercial,PVT Bank,Commercial Loan,5313600,2558400,55,1918800,N,M
NBFCIN0001762,Q2,FY20,Microfinance,NBFC,Microfinance Loan,7630,2205,42,913815,N,M
NBFCIN0001013,Q2,FY19,Microfinance,NBFC,Microfinance Loan,15150,5304,29,709246,N,F
