symbol,value
˜,0
ƒ,1
‹,2
€,3
†,4
…,5
Œ,6
’,7
ž,8
–,9
Ÿ,10
‡,11
—,12
ˆ,13
†,14
†,15
Ÿ,16
ˆ,17
ž,18
–,19
Š,20
™,21
…,22
‡,23
‹,24
†,25
˜,26
“,27
‰,28
‰,29
Š,30
‰,31
ˆ,32
Ž,33
“,34
Ÿ,35
—,36
‘,37
‰,38
‡,39
•,40
š,41
›,42
‘,43
Ÿ,44
”,45
š,46
‹,47
‘,48
ž,49
™,50
—,51
‡,52
š,53
“,54
†,55
Œ,56
•,57
Ÿ,58
–,59
›,60
™,61
–,62
“,63
œ,64
ˆ,65
ˆ,66
€,67
Ž,68
‹,69
ˆ,70
•,71
„,72
‡,73
™,74
„,75
ˆ,76
›,77
”,78
•,79
˜,80
—,81
ƒ,82
—,83
‘,84
ƒ,85
Š,86
Ž,87
…,88
š,89
…,90
…,91
”,92
‡,93
‰,94
“,95
†,96
ž,97
‡,98
ƒ,99
œ,100
–,101
“,102
ƒ,103
‰,104
”,105
™,106
€,107
€,108
€,109
Ÿ,110
š,111
”,112
š,113
•,114
‰,115
Š,116
…,117
“,118
Œ,119
Ž,120
‘,121
ƒ,122
…,123
œ,124
…,125
Œ,126
–,127
‡,128
Š,129
ˆ,130
œ,131
‘,132
˜,133
‰,134
Ÿ,135
†,136
‡,137
š,138
œ,139
ƒ,140
†,141
‡,142
•,143
€,144
Œ,145
ž,146
‘,147
ˆ,148
™,149
ƒ,150
‰,151
—,152
†,153
‹,154
ƒ,155
“,156
–,157
†,158
ƒ,159
†,160
ž,161
”,162
š,163
ƒ,164
‚,165
Œ,166
‹,167
‰,168
‘,169
š,170
œ,171
ˆ,172
›,173
•,174
”,175
Ÿ,176
–,177
Š,178
ƒ,179
„,180
‹,181
’,182
‚,183
š,184
Ÿ,185
ž,186
™,187
Š,188
œ,189
’,190
•,191
„,192
Œ,193
“,194
ƒ,195
š,196
Ÿ,197
–,198
‹,199
Ÿ,200
š,201
š,202
†,203
‰,204
‹,205
†,206
€,207
‚,208
…,209
‰,210
Ž,211
„,212
„,213
‹,214
ž,215
œ,216
™,217
“,218
”,219
š,220
˜,221
ƒ,222
”,223
†,224
Š,225
ˆ,226
ˆ,227
Ž,228
„,229
–,230
Œ,231
‡,232
“,233
Š,234
…,235
€,236
Ž,237
ƒ,238
‰,239
ž,240
“,241
†,242
–,243
•,244
˜,245
‚,246
œ,247
„,248
‰,249
”,250
˜,251
‚,252
„,253
„,254
™,255
“,256
ž,257
ž,258
€,259
’,260
–,261
™,262
™,263
˜,264
›,265
„,266
™,267
Ž,268
”,269
Ÿ,270
ˆ,271
“,272
Ÿ,273
‚,274
œ,275
™,276
‰,277
–,278
›,279
‘,280
’,281
Ž,282
Œ,283
ˆ,284
„,285
‘,286
˜,287
†,288
†,289
Ž,290
„,291
†,292
Š,293
’,294
–,295
’,296
Ž,297
Œ,298
ž,299
‚,300
–,301
‚,302
’,303
Œ,304
‡,305
œ,306
”,307
†,308
‰,309
Ž,310
”,311
”,312
—,313
œ,314
›,315
–,316
‚,317
Œ,318
Ž,319
˜,320
œ,321
†,322
Œ,323
™,324
—,325
ˆ,326
‚,327
–,328
’,329
‚,330
ˆ,331
—,332
†,333
‘,334
“,335
Š,336
›,337
„,338
—,339
ž,340
‘,341
‹,342
’,343
œ,344
‹,345
“,346
˜,347
œ,348
™,349
Ÿ,350
Ž,351
›,352
‰,353
™,354
‘,355
•,356
Š,357
„,358
…,359
‚,360
‡,361
™,362
˜,363
…,364
Ÿ,365
ˆ,366
™,367
‹,368
–,369
”,370
œ,371
–,372
“,373
•,374
‹,375
…,376
—,377
€,378
–,379
‰,380
Š,381
ˆ,382
†,383
“,384
™,385
…,386
š,387
”,388
ž,389
“,390
™,391
Ž,392
”,393
’,394
…,395
Š,396
—,397
„,398
‰,399
€,400
›,401
Œ,402
ž,403
™,404
˜,405
–,406
”,407
„,408
›,409
”,410
’,411
‡,412
‡,413
—,414
Ÿ,415
™,416
‹,417
“,418
‚,419
‹,420
€,421
‚,422
“,423
Œ,424
ž,425
ž,426
›,427
˜,428
—,429
€,430
š,431
’,432
†,433
‘,434
‰,435
œ,436
–,437
š,438
‰,439
ˆ,440
’,441
’,442
–,443
Ž,444
Ÿ,445
Œ,446
‹,447
‡,448
˜,449
Ÿ,450
ˆ,451
‡,452
Ÿ,453
’,454
•,455
…,456
š,457
†,458
Š,459
ƒ,460
‚,461
€,462
™,463
˜,464
˜,465
Ž,466
ƒ,467
†,468
‘,469
™,470
‘,471
…,472
„,473
”,474
Ÿ,475
˜,476
›,477
ž,478
›,479
•,480
‡,481
–,482
„,483
†,484
‹,485
Ÿ,486
˜,487
œ,488
“,489
Ÿ,490
‰,491
Ž,492
”,493
™,494
Ÿ,495
™,496
‹,497
›,498
“,499
